"id";"companyName";"symbol"
100881783200940201;"Universal Health Services, Inc.";"UHS"
100881783200940202;"United Rentals, Inc.";"URI"
100881783200940203;"Martin Marietta Materials, Inc.";"MLM"
100881783200940204;"Broadcom Inc.";"AVGO"
100881783200940205;"Alphabet Inc.";"GOOGL"
100881783200940206;"Essex Property Trust, Inc.";"ESS"
100881783200940207;"Tractor Supply Company";"TSCO"
100881783200940208;"Meta Platforms, Inc.";"META"
100881783200940209;"Mohawk Industries, Inc.";"MHK"
100881783200940210;"Allegion plc";"ALLE"
100881783200940211;"AMETEK, Inc.";"AME"
100881783200940212;"Vertex Pharmaceuticals Incorporated";"VRTX"
100881783200940213;"Delta Air Lines, Inc.";"DAL"
100881783200940214;"News Corporation";"NWSA"
100881783200940215;"Zoetis Inc.";"ZTS"
100881783200940216;"General Motors Company";"GM"
100881783200940217;"Regeneron Pharmaceuticals, Inc.";"REGN"
100881783200940218;"AbbVie Inc.";"ABBV"
100881783200940219;"Aptiv PLC";"APTV"
100881783200940220;"Garmin Ltd.";"GRMN"
100881783200940221;"Humana Inc.";"HUM"
100881783200940222;"Dollar General Corporation";"DG"
100881783200940223;"Mondelez International, Inc.";"MDLZ"
100881783200940224;"Pentair plc";"PNR"
100881783200940225;"LyondellBasell Industries N.V.";"LYB"
100881783200940226;"Seagate Technology Holdings plc";"STX"
100881783200940227;"Lam Research Corporation";"LRCX"
100881783200940228;"Monster Beverage Corporation";"MNST"
100881783200940229;"Kinder Morgan, Inc.";"KMI"
100881783200940230;"Phillips 66";"PSX"
100881783200940231;"Crown Castle Inc.";"CCI"
100881783200940232;"BorgWarner Inc.";"BWA"
100881783200940233;"Dollar Tree, Inc.";"DLTR"
100881783200940234;"Xylem Inc.";"XYL"
100881783200940235;"TE Connectivity Ltd.";"TEL"
100881783200940236;"The Mosaic Company";"MOS"
100881783200940237;"Accenture plc";"ACN"
100881783200940238;"Freeport-McMoRan Inc.";"FCX"
100881783200940239;"Marathon Petroleum Corporation";"MPC"
100881783200940240;"Chipotle Mexican Grill, Inc.";"CMG"
100881783200940241;"BlackRock, Inc.";"BLK"
100881783200940242;"Edwards Lifesciences Corporation";"EW"
100881783200940243;"F5, Inc.";"FFIV"
100881783200940244;"Netflix, Inc.";"NFLX"
100881783200940245;"Trane Technologies plc";"TT"
100881783200940246;"Johnson Controls International plc";"JCI"
100881783200940247;"Chubb Limited";"CB"
100881783200940248;"CarMax, Inc.";"KMX"
100881783200940249;"ONEOK, Inc.";"OKE"
100881783200940250;"Berkshire Hathaway Inc.";"BRK-B"
100881783200940251;"NRG Energy, Inc.";"NRG"
100881783200940252;"Roper Technologies, Inc.";"ROP"
100881783200940253;"Ross Stores, Inc.";"ROST"
100881783200940254;"Visa Inc.";"V"
100881783200940255;"Booking Holdings Inc.";"BKNG"
